Codigo_Accidente;Formulario;Fecha_Acc;AA_Acc;Codigo_Vehiculo;Clase;Servicio;Modalidad;Vehiculo_Viajaba_Clasificado;Tipo_SITP;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual
10602173;A001604925;22/11/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;SI;;;SI;;SI;;;SI;;;;
10602475;A001613821;26/10/2023;2023;1;Campero;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10602483;A001574236;29/09/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10602483;A001574236;29/09/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587615;A001566854;14/02/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;SI;SI;;;;;;;;;;;;;;
10587616;A001567323;14/02/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;SI;;;;;;;;;;;;;
10587617;A001517805;15/02/2023;2023;1;Camion, Furgon;Publico;;CARGA;;;SI;;;;SI;;;;;;;;;;;;;;
10587617;A001517805;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;SI;;;;SI;;;;;;;;;;;;;;
10587618;A001519464;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10587618;A001519464;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10587619;A001567317;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;;SI;;;;;;;;;;;;;;
10587619;A001567317;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;;SI;;;;;;;;;;;;;;
10587620;A001567164;14/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10587621;A001567132;15/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ARTICULADO;;;;;;;;SI;;;SI;;SI;SI;;;;SI;;
10587621;A001567132;15/02/2023;2023;2;Bus;Publico;;TRANSPORTE DE PASAJEROS;ARTICULADO;;;;;;;;SI;;;SI;;SI;SI;;;;SI;;
10587622;A001567285;14/02/2023;2023;1;Microbus;Publico;;TRANSPORTE DE PASAJEROS;;;;;;;SI;;;;;SI;;;;;;;;;
10587622;A001567285;14/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;;;;;;;;
10587623;A001566769;14/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587623;A001566769;14/02/2023;2023;2;Automovil;Sin información;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587624;A001567325;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10587625;A001567088;14/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587625;A001567088;14/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587626;A001566910;15/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;SI;;;SI;;SI;;;SI;;;;
10587627;A001567286;14/02/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10587628;A001567324;14/02/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587628;A001567324;14/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587629;A001518943;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10587629;A001518943;15/02/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10587630;A001567307;14/02/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10587631;A001567245;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10587631;A001567245;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
