Categoría,ID Producto,Costo estimado,ISBN,Título,Autor,Calificaciones,Unidades Restantes,Descuento,Precio Anterior,Precio Actual
Artes,51621405,10186.755,9789585549142,El camino del artista,Julia Cameron,118,100+,25%dcto.,$ 62.000,$ 46.500
Artes,42069685,8050.8225,9789588789774,El resplandor,Stephen King,122,48,25%dcto.,$ 49.000,$ 36.750
Artes,52837076,10942.5465,9789585266322,La depresión (no) existe,"Juan Carlos Rincón Escalante, Cecilia Ramos Valencia",222,2,,,$ 49.950
Artes,53109960,12322.6875,9789585245518,Persépolis,Marjane Satrapi,18,100+,25%dcto.,$ 75.000,$ 56.250
Artes,53700009,4600.47,9789585367104,Carmilla,Sheridan Le Fanu,57,33,30%dcto.,$ 30.000,$ 21.000
Artes,53098711,22838.0475,9789585581432,El amor en los tiempos del cólera (edición ilustrada),Gabriel García Márquez,46,52,25%dcto.,$ 139.000,$ 104.250
Artes,53698091,7393.6125,9786287513075,El mesías de Dune (Dune 2),Frank Herbert,26,100+,25%dcto.,$ 45.000,$ 33.750
Artes,55004875,19551.9975,9789585457805,Beyond the Story. Crónica de 10 Años de BTS,Myeongseok Kang,87,51,25%dcto.,$ 119.000,$ 89.250
Artes,53051153,13996.121,9781644732922,Roba Como un Artista: Las 10 Cosas que Nadie te ha Dicho Acerca de ser Creativo,"Kleon, Austin",4,50,50%dcto.,$ 127.778,$ 63.889
Artes,45142362,7557.915,9789588820873,Carrie,Stephen King,49,92,25%dcto.,$ 46.000,$ 34.500
Artes,53723975,10679.6625,9786287514157,Balada de pájaros cantores y serpientes,Suzanne Collins,24,60,25%dcto.,$ 65.000,$ 48.750
Artes,51598673,35107.50099,9781506711980,Berserk Deluxe Volume 1 (en Inglés),"Miura, Kentaro ; Miura, Kentaro ; Deangelis, Jason",57,5,50%dcto.,$ 320.514,$ 160.257
Artes,51493477,11285.1895056,9789585446601,Los muiscas,Carl Henrik Langebaek,12,20,15%dcto.,$ 60.605,$ 51.514
Artes,55824948,15084.06485,9786072949201,El Burdel de las Parafilias,Andrea Ramos,12,11,50%dcto.,$ 137.710,$ 68.855
Artes,53970522,13472.805,9788418052071,Hierba / Grass,"Gendry-Kim, Keum Suk",33,56,25%dcto.,$ 82.000,$ 61.500
Artes,48508603,10937.28882,9780762459810,The Screaming Goat (Book & Figure) (en Inglés),Running Press ; Running Press,1,9,50%dcto.,$ 99.851,$ 49.926
Artes,51975002,18524.289,9781452168661,Studio Ghibli: 100 Collectible Postcards: Final Frames From the Feature Films (en Inglés),Studio Ghibli,61,100+,50%dcto.,$ 169.118,$ 84.559
