"Variable","Tipo","Descripción","Importancia"
"Fecha_Acc","Categórica (Fecha)","Fecha exacta del accidente","Permite analizar patrones temporales"
"Hora_Accidente","Continua","Hora del día en que ocurrió el siniestro","Identificar alta de accidentabilidad durante el día"
"Dia_Semana_Acc","Categórica Ordinal","Día de la semana en que ocurrió el accidente","Ayuda a identificar días con mayor incidencia"
"Longitud","Continua","Coordenada geográfica que indica la distancia en grados decimales con respecto al meridiano principal","Análisis geoespacial"
"Latitud","Continua","Coordenada geográfica que indica la distancia en grados decimales con respecto a la línea del Ecuador","Análisis geoespacial"
"Direccion","Descriptiva","Dirección completa donde ocurrió el siniestro vial","Ubicación específica"
"Zona","Categórica","Barrio o zona de siniestro","Análisis zonal"
"Clase","Categórica","Tipo de vehículo involucrado","Características del vehículo"
"Servicio","Categórica","Clase de servicio proporcionado por el vehículo","Tipo de servicio"
"Sistema_Transporte","Binaria","Indica si el vehículo pertenece a un sistema de transporte integrado como SITP","Identificación de transporte público"
"Rol_Actor","Categórica","Rol del actor vial en el accidente","Rol en el accidente"
"Condicion","Categórica Ordinal","Resultado del accidente para el actor vial","Gravedad del accidente"
"Edad","Continua","Edad del actor vial en años","Grupos vulnerables"
"Genero","Categórica","Género del actor vial","Diferencias de género"
"Codigo_Accidente","Nominal","Identificador único del accidente","Unir tablas"
"Codigo_Vehiculo","Nominal","Identificador único del vehículo","Unir tablas"
"Codigo_Accidentado","Nominal","Identificador único del actor vial","Unir tablas"
"Condicion_Climatica","Categorical","Condiciones climáticas al momento del accidente","Condiciones ambientales"
"Estado_Via","Categorical","Estado de la vía al momento del accidente","Estado de la vía"
"Tipo_Siniestro","Categorical","Tipo de siniestro","Tipo de siniestro"
